Model Xe,Năm Sản Xuất,Gía Tiền,Xuất Xứ,Tình Trạng,Dòng Xe,Số KM Đã Đi,Màu Ngoại Thất,Màu Nội Thất,Số Chỗ Ngồi,Động Cơ,Hệ Thống Nạp Nhiên Liệu,Hộp Số,Dẫn Động,Thành Phố MPG,Cao Tốc MPG,Chiều Dài Cơ Sở,Chiều Dài Xe,Chiều Rộng Xe,Chiều Cao Xe,Độ Nặng,Kích Thước Động Cơ,Tỷ Số Đường Kính Xy Lanh & Pít Tông,Stroke,Mã Lực,Số Vòng Quay Cực Đại,Địa Chỉ
Honda Odyssey Elite,2019,770500000,Xe nước ngoài,1,Van-minivan,92149,Ngọc trai đen pha lê,Unknown,6,Xăng Lanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,19,28,87.1,129.4,80.3,73,1950,87,3.24,2.8,102,4612,68025 Kyle Road
Chevrolet Express 3500 w/ Power Convenience Package,2022,1057540000,Xe nước ngoài,1,Van-minivan,30211,Hội nghị thượng đỉnh trắng,Thiếc vừa,7,Xăng 3.5L,Unknown,Số tự động,RFD - Dẫn động cầu sau,31,44,115.8,102.2,84.6,76.1,2296,89,3.03,3.17,115,4509,1596 Chatham Pkwy
Kia Carnival SX Prestige,2024,1207385000,Xe nước ngoài,1,Van-minivan,224,Kim loại panthera,Unknown,7,Xăng Lanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,19,26,130.7,147.1,82,82.2,1514,119,2.91,3.35,74,6368,240 Killian Commons Parkway
Honda Odyssey Elite,2023,1149954000,Xe nước ngoài,1,Van-minivan,11310,Ngọc trai đen pha lê,Unknown,6,Xăng 6.6L,Unknown,Số tự động,FWD - Dẫn động cầu trước,19,28,125,100.8,75.4,70.8,2193,198,2.82,3.33,71,5913,640 Colemans Crossing
RAM ProMaster 2500,2021,1126931000,Xe nước ngoài,1,Van-minivan,26101,Áo khoác trắng sáng,Unknown,5,Nhiên liệu linh hoạt Lanh,Unknown,Số tự động,FWD - Dẫn động cầu trước,34,43,122.7,121.3,75.2,84.7,2196,81,3.13,3.64,81,5638,2473 PLEASANT HILL RD
Nissan NV SV w/ Navigation Package,2021,1124424000,Xe nước ngoài,1,Van-minivan,33730,Sông băng trắng,Đen,7,Nhiên liệu linh hoạt 3.5L,Unknown,Số tự động,RFD - Dẫn động cầu sau,36,39,122.4,100.2,74.5,73,1816,110,2.97,3.82,125,6106,1801 Auto Center Dr
Chrysler Pacifica Limited,2021,1030400000,Xe nước ngoài,1,Van-minivan,40520,Lớp phủ kim loại thép tối đa,Unknown,5,Nhiên liệu linh hoạt Lanh,Unknown,Số tự động,AWD - 4 bánh toàn thời gian,17,25,113,131.7,83,80.7,2605,131,3.22,3.5,97,5232,1475 Arrowhead Road
Nissan NV200 S,2020,520950000,Xe nước ngoài,1,Van-minivan,113779,Bột tươi,Xám,7,Nhiên liệu linh hoạt 3.5L,Unknown,Số tự động,FWD - Dẫn động cầu trước,24,26,62.1,95,86.6,84.8,2455,110,2.83,3.12,133,5408,4809 St Barnabas Rd
Honda Odyssey Sport,2023,963700000,Xe nước ngoài,1,Van-minivan,11184,Ngọc trai đen pha lê,Unknown,6,Xăng 3.6L,Unknown,Số tự động,FWD - Dẫn động cầu trước,19,28,106.4,162.8,88.8,66.8,2559,133,2.99,3.2,142,5474,4211 W HENRIETTA RD
Ford Transit 250 Low Roof,2021,917700000,Xe nước ngoài,1,Van-minivan,49034,Oxford trắng,Unknown,7,Xăng 4.0L,Unknown,Số tự động,RFD - Dẫn động cầu sau,21,38,101.8,129.9,74.8,66.7,2245,179,2.8,2.79,139,5283,1210 Northlake Blvd
Ford Transit 250 Low Roof,2021,917700000,Xe nước ngoài,1,Van-minivan,42870,Oxford trắng,Xám,5,Xăng 3.6L,Unknown,Số tự động,RFD - Dẫn động cầu sau,17,45,101.8,162.6,80.9,71,1904,171,3.13,3.23,80,5439,1210 Northlake Blvd
Ford Transit 250 Low Roof,2020,866456000,Xe nước ngoài,1,Van-minivan,95678,Trắng,Unknown,7,Xăng 2.0L,Unknown,Số tự động,RFD - Dẫn động cầu sau,21,32,96.6,119.3,89.3,68.8,2360,206,2.87,3.24,116,4281,2366 OCEAN HWY W
Ford Transit 350 XLT,2020,851000000,Xe nước ngoài,1,Van-minivan,188987,Oxford trắng,Unknown,6,Xăng Lanh,Unknown,Số tự động,RFD - Dẫn động cầu sau,42,47,95.1,103.3,81,72.8,2479,161,3.15,3.3,182,6433,488 US HIGHWAY 1
Honda Odyssey EX-L,2021,810704000,Xe nước ngoài,1,Van-minivan,42573,Đen,Gỗ mun,6,Xăng 3.5L,Unknown,Số tự động,FWD - Dẫn động cầu trước,19,28,91.1,163.7,85.2,69.5,2625,77,3.06,3.23,121,5421,9898 Trask Ave
RAM ProMaster 2500,2019,758954000,Xe nước ngoài,1,Van-minivan,114784,Áo khoác trắng sáng,Unknown,7,"Nhiên liệu linh hoạt 3,5L",Unknown,Số tự động,FWD - Dẫn động cầu trước,34,40,85.9,118.1,84.1,68.1,1738,192,2.88,2.89,169,4579,11655 North Fwy
